Job Id,Job URL,Job Title,Company,Job Industry,Job Sub Industry,Job Description,Job Employment Type,Job Minimum Experience,Job Salary Range,Skills,Job Posting Date,Location
91636862,https://sg.jobstreet.com/job/91636862?ref=search-standalone&type=standard&origin=jobTitle#sol=3b137e92c3e4d2e6369e2191a14fe09099816e71,Head of Information Technology,DULWICH COLLEGE (SINGAPORE) PTE. LTD. ,Information & Communication Technology,Management,"Dulwich College (Singapore) is seeking an experienced and strategic Head of Information Technology to lead and shape the College’s technology vision. This is a leadership role with responsibility for driving digital transformation, ensuring robust IT infrastructure, and enabling outstanding teaching, learning and operational excellence across the College.Reporting to the Director of Business Administration & Bursar, the post holder will lead a multi-disciplinary IT function, working closely with academic and operational leaders to align technology with the College’s strategic priorities.Key ResponsibilitiesProvide strategic leadership for all IT functions, including ICT Services, AV, and Applications & Information Systems.Develop and implement an IT strategy aligned with educational, operational, and EiM guidelines.Lead digital transformation initiatives to enhance teaching, learning, and efficiency.Oversee IT infrastructure, systems, cloud services, networks, and AV provision.Ensure high standards of cybersecurity, data protection, and regulatory compliance.Manage IT budgets, procurement, and long-term technology lifecycle planning.Lead vendor and contract management, ensuring strong performance and value for money.Build strong partnerships with academic and administrative stakeholders.Lead, mentor, and develop a high-performing IT team.About YouYou are a senior IT leader with a strong strategic mindset, excellent communication skills, and a passion for using technology to support education.You will bring:A degree (or equivalent qualification) in an IT-related discipline.At least 10 years’ experience in IT roles, including leading teams and developing strategy.Experience managing IT across a large or complex organisation.Strong knowledge of IT infrastructure, systems, and cybersecurity.Experience working in an educational environment (highly desirable).Exposure to ITIL service management practices.Proven ability to influence senior stakeholders and deliver change in complex environments.Equity Diversity Inclusion StatementEiM is committed to diversity within its team, organisational practices, policies and culture. It recognises that people with different backgrounds, skills, attitudes and experiences bring fresh ideas and perceptions, and it encourages and leverages these differences to make its work more relevant and approachable. EiM will not discriminate or tolerate discriminatory behaviour on any grounds such as, but not limited to, race, gender, disability, nationality, national or ethnic origin, religion or belief, marital/partnership or family status, sexual orientation, age or socioeconomic background. EiM strives to be an inclusive workplace where everyone feels a sense of belonging, has a voice, can raise concerns, and feels comfortable and confident. It expects everyone who works with it to share this commitment and to act accordingly, as it aspires to best serve the EiM mission and its community.Safeguarding StatementDulwich College (Singapore) is committed to safeguarding and promoting the welfare of all the students in our care and expects all applicants to share this commitment. We follow safe recruitment practices which are aligned to the recommendations of the International Task Force on Child Protection. We hold ourselves to a high standard of effective recruiting practices with specific attention to child protection. All appointments are subject to an interview, identity checks, criminal record checks, social media checks, and successful references.PEI Registration Number: 201027137D. Period of Registration: 09 January 2024 to 08 January 2028",Full time,,"$10,000 – $12,000 per month",,2026-04-21,"Bukit Batok, West Region"
91538432,https://sg.jobstreet.com/job/91538432?ref=search-standalone&type=standard&origin=jobTitle#sol=03af2cf1700213aab645143fb17965f9432dc62f,IT Support Executive,Rasel Catering Singapore Pte Ltd ,Information & Communication Technology,Help Desk & IT Support,"We are looking for a hands-on and reliable IT Support Executive to manage day-to-day IT operations and provide support for hardware, software, internet connectivity, and system implementation. This role is ideal for someone who is proactive, able to troubleshoot independently, and comfortable supporting users across different IT needs.Key ResponsibilitiesTroubleshoot and resolve hardware, software, and general IT issuesSupport internet, Wi-Fi, and network connectivity problemsSet up, configure, and maintain computers, printers, email accounts, and software applicationsInstall, update, and maintain operating systems and business softwareAssist in software implementation, including setup, testing, training, and user supportProvide day-to-day technical support to staffMaintain IT equipment inventory and coordinate with vendors when requiredRequirementsDiploma or relevant qualification in IT, Computer Science, or related fieldExperience in IT support, helpdesk, or a similar roleBasic knowledge of hardware, software, networking, and Microsoft Office / Microsoft 365Able to troubleshoot issues efficiently and work independentlyGood communication and interpersonal skillsResponsible, organized, and service-oriented",Full time,,"$3,200 – $4,200 per month",,2026-04-16,West Region
91616610,https://sg.jobstreet.com/job/91616610?ref=search-standalone&type=standard&origin=jobTitle#sol=4be3553c70dab5676406c542f6c7142a7aae23ca,IT Infrastructure & Administration Executive,Hatch Careers (Singapore) Pte Ltd ,Information & Communication Technology,Networks & Systems Administration,"About the RoleWe are seeking a hands-on and proactive IT Infrastructure & Administration Executive to support the organization’s day-to-day IT operations, cloud infrastructure, user support, and IT asset governance.This role is ideal for someone who enjoys a mix of technical troubleshooting, systems administration, AWS cloud support, vendor coordination, reporting, and process improvement.You will play a key role in ensuring smooth business operations through reliable IT support, secure infrastructure, efficient onboarding/offboarding, and system enhancement initiatives.Key ResponsibilitiesIT Support & InfrastructureProvide first-level support for desktops, laptops, printers, Wi-Fi, and office systemsTroubleshoot hardware, software, network, and user-access issuesSet up laptops, desktops, mobile devices, and meeting room AV equipmentSupport Microsoft 365, email configuration, shared drives, and user permissionsManage system backups, antivirus, endpoint security, and patch updatesPerform routine server, NAS, and firewall health checksCoordinate with external IT vendors for escalated issues and maintenanceIT AdministrationMaintain inventory records for laptops, monitors, accessories, software licenses, and peripheralsHandle IT procurement, quotation comparisons, PO requests, and vendor invoicesPrepare IT onboarding/offboarding checklist for new and resigned staffCreate email accounts, system access, door access, and printer permissionsMaintain IT SOPs, user guides, passwords handover records, and support logsMonitor IT asset warranty, software subscriptions, and renewal datesCloud Infrastructure & AWS ManagementAdminister and oversee AWS cloud environments and data infrastructureEnsure high availability, scalability, and security of cloud systemsMonitor and optimize performance, usage, and cost efficiencyManage data storage, backups, and integrity across cloud platformsEnforce cloud security standards, IAM policies, and access controlsContribute to cloud architecture design and continuous improvement initiativesRequirementsDiploma / Degree in IT, Computer Science, Information Systems, or related field2–4 years of relevant experience in IT supportGood knowledge of Microsoft 365, Windows OS, networking, and endpoint securityStrong Excel and reporting skillsExperience with vendor management and procurement documentationExperience with AWS cloud environmentsFamiliarity with ticketing systems and UAT documentationGood communication and documentation skillsAble to work independently and support after office hours if requiredWhy Join UsGain hands-on AWS cloud exposureWork on system upgrades and digital transformation projectsBroad role covering IT support, infrastructure, and cloudClear progression to Senior IT Executive / IT ManagerSupportive and growth-oriented work environment",Full time,,"$3,500 – $5,000 per month",,2026-04-21,"Redhill, Central Region"
91740010,https://sg.jobstreet.com/job/91740010?ref=search-standalone&type=standard&origin=jobTitle#sol=d1e81a05dbaa807790f5cee8a7017776d20398fa,IT Desktop Support Engineer,Career International FOS Pte Ltd ,Information & Communication Technology,Help Desk & IT Support,"Job Description Provide 1st and 2nd level IT support including desktop related technical assistance via telephone, ticket system, emails and instant chat messaging tool, etc.Support event, video conference with understanding knowhow and break fixSupport and troubleshoot desktop Technology and application like Microsoft OfficeGeneral concept for reporting, dashboard With proactive communication with senior executive with quick resolution and follow up planFast learner on new technology with data drivenEnsuring proper documentation, notification, tracking, and follow up of all incidentsTeam Management with cross country is preferredpassionate, high performer, fast learner, willing to take ownershipwork overtime required occasionally for emergency, project and VP support Job requirements:5+ years of work experience in large enterprise companiesUniversity degree in computer science or equivalent experience in ITStrong knowledge in User & VIP Support and ITIL methodologyProven ability of project management Strong Communication with different department and stakeholders",Full time,,"$3,800 – $4,200 per month",,2026-04-25,"Singapore River, Central Region"
91696777,https://sg.jobstreet.com/job/91696777?ref=search-standalone&type=standard&origin=jobTitle#sol=d84b3c1bcd0837b5ace924bb95dca5a481c1c862,IT Support Engineer,CELECTI PTE. LTD. ,Information & Communication Technology,Help Desk & IT Support,"Accessible location; Walkable distance from Tampines MRT Station5-day Work Week; Mondays to FridaysUp to $6000 Basic Salary with Bonuses Our client, a leading European insurance provider specializing in the maritime industry is seeking an experienced candidate to join them as an IT Support Engineer. Job Responsibilities:Provide first and second-line IT support for hardware, software, and network issues.Troubleshoot and resolve technical issues for end-user devices and business applications.Support and administer Microsoft Office 365, Active Directory, and user access management.Maintain and troubleshoot local IT infrastructure in collaboration with global IT teams.Assist with application deployments, updates, and vendor coordination.Ensure compliance with IT policies, security standards, and audit requirements.Act as the primary IT contact for the Singapore office, delivering responsive end-user support and guidance.Work independently as the sole IT support representative while aligning with global IT operations. Job Requirements:Bachelor’s degree in IT, Computer Science, or a related field (or equivalent experience).Proven experience in IT support covering desktop, infrastructure, and application support.Strong knowledge of Windows OS, Microsoft Office 365, and Active Directory.Familiarity with IT security principles and best practices.Strong troubleshooting, problem-solving, and organisational skills.Good communication and interpersonal skillsSelf-motivated and able to work independently with minimal supervision.Relevant certifications such as ITIL or CompTIA A+ preferred. Interested and qualified candidates please email your resume to ammerlinelam@celecti.com.sg  Ammerline Lam Sze YiCEI No. R1104463Celecti Pte LtdEA Licence: 16C8045Contact No.: 96190516",Full time,,"$4,500 – $6,000 per month",,2026-04-24,"Tampines, East Region"
91344420,https://sg.jobstreet.com/job/91344420?ref=search-standalone&type=standard&origin=jobTitle#sol=246f301281e05d689dab486d93d0290d20a20971,IT Support Officer/ Executive,TWG Tea Company Pte Ltd ,Information & Communication Technology,Help Desk & IT Support,"RESPONSIBILITIES:Reports to IT Infrastructure ManagerAbility to establish priorities, work independently, and be accountable to reporting supervisorsResponsible for providing helpdesk and day-to day support to users and managementSupport users in all IT related matters, including infrastructure, networking, ERP, POS, CRM, eCommerce, etcAssist in induction of new joinersSupport project team in testing and documentationInstall, configure, testing, training and support of deployed software solutionProvide clear and detailed documentation, manuals and technical reports, building up knowledge base and troubleshooting guidesREQUIREMENTS:Diploma / Degree in Computer Science, Software engineering or other similar disciplines.Minimum 1 year of experience in L1/ L2 IT supportKnowledge in scripting, Store Opening, POS, ERP projects will be of added advantageExperience in ITIL, JIRA, Microsoft Planner, Sharepoint, M365, Teams will be of added advantageTeam Player with strong communication and documentation skillsApplicants should be fluent in written and spoken Chinese & English (to liaise with Chinese speaking associates and documentation)Only shortlisted candidates will be notified.Please apply with a detailed resume indicating reasons for leaving, last drawn salary, expected salary and date of availability.",Full time,,,,2026-04-07,"Others, Central Region"
91387479,https://sg.jobstreet.com/job/91387479?ref=search-standalone&type=standard&origin=jobTitle#sol=6e7422104a04ad067af60f52c82ade3efe587584,"Assistant/Manager, End User Support",Private Advertiser ,Information & Communication Technology,Help Desk & IT Support,"About the Company:We are a leading multinational group, headquartered in Europe with a strong and long‑established presence across Asia Pacific partnering with leading global brands across multiple industries. In Singapore, we operate as a regional hub, offering employees the chance to work in a dynamic environment with exposure to global and cross-functional opportunities.About the Role:The Assistant/Manager is responsible for leading end user support and infrastructure. This role ensures employees have a secure, stable, and modern technology environment, while continuously improving service quality and user experience in line with business needs and local regulatory requirements.You will manage a team of end user support professionals, oversee outsourced service providers, and collaborate closely with local business stakeholders and regional IT teams.Key Responsibilities:Lead a team, implement new initiatives and manage day-to-day activities in ensuring the high service reliability, and performance of end user systems, services, hardware and infrastructure through established IT Operations policies, procedures and processes.Oversee IT service management processes including incident, request, problem, change, and release management aligned with ITIL best practices.Act as escalation point for complex technical issues and service disruptions.Manage end-user computing environments including laptops, desktops, printers, mobile devices, peripherals, and collaboration tools.Own endpoint management platforms such as Microsoft 365, Intunes, Windows Autopilot, identity and access management, including IT Asset ManagementStrategise, plan and execute transformation projects, device refresh, rollout, and lifecycle management initiatives.IT liaison person related to IT security and ensure compliance with cybersecurity, audit, and data protection requirements relevant to Singapore.Coordinate disaster recovery and business continuity planning and testing for end-user services.Manage third-party vendors and managed service providers, ensuring SLA and contract compliance.Partner with business stakeholders and provide high-touch support to senior management and executive users.Lead, coach, and develop a customer-focused, high-performing support team.Requirements:Bachelor’s Degree in Computer Science, Information Technology, Systems Engineering, or a related discipline.Minimum 8 years of experience in managing teams and/or outsourced service providers.At least 5 years in End User Computing, Digital Workplace, or IT Support roles.Strong experience with Microsoft technologies including Microsoft 365, Intune, Windows Autopilot, Azure AD / Entra ID, Group Policy, SCCM/MEM, Windows 10/11, Linux, Andriod.Good understanding of endpoint security, identity management, and device compliance.Hands-on experience supporting or managing network and security components such as firewalls, switches, access points, and VPNs.Familiarity with IT service management tools and ITIL processes.Experience supporting hybrid (cloud and on-premise) environments.Experience in creating roadmaps, network design, remote end user support and execution. Certificates (advantageous)ITIL Foundation or higher.Microsoft certifications (Modern Desktop Administrator, Azure, Microsoft 365).Networking or security certifications such as CCNA or equivalent. Personal Attributes:Comes with proven experience in people management skills, excellent communication, and stakeholder management skills.Possess a customer-centric mindset with a focus on service quality and user experience.Ability to operate effectively in a fast-paced, enterprise environment.Comes with prior experience in supporting employees across all levels from ground level support staff to senior leadership.",Full time,,"$5,500 – $7,500 per month",,2026-04-08,Central Region
91368854,https://sg.jobstreet.com/job/91368854?ref=search-standalone&type=standard&origin=jobTitle#sol=06d2868f57626fd786f24b61a268ef0fd4005ee7,IT Support Specialist,"ARTHREX SINGAPORE, PTE. LTD. ",Information & Communication Technology,Help Desk & IT Support,"Benefits:Location: Biopolis / 1 Jalan KilangGreat Place to Work Certified - 2025Great Employee BenefitsReporting Line: IT Team Lead User Support - GlobalMain Objective: Provide high level support to end users of computer equipment and systems maintenance to include workstations, software and peripherals, including Labs and Exhibits. Essential Duties & Responsibilities:Installs, configures, maintains and troubleshoots hardware, software, computers, printers, and other peripheral devices and ensures effective use of hardware and software resourcesCollaborates with other company departments or Global IT teams to function as a liaison throughout the development, testing, and implementation of new product or operating system installs and/or upgrades ensuring end users are adequately supportedManages IT projects, attends project meetings to communicate status to appropriate parties, develops and disperses all levels of necessary documentation, and stays current with system information, changes and updatesManaging Outsourced End User Support vendors both locally and through SEA region with other IT team membersOversight of work conducted in SEA region by End User Support vendorsProvides support for various technical issues and initiatives related to assigned applications, systems, databases and/or other technical products and services in compliance with service level agreements utilizing diagnostic and other tools to maintain, troubleshoot and restore service or data to systemsProvide phone support based on support rotation schedule and monitors ticketing system for incoming issues and identifies, escalates and redirects problems requiring urgent attention to appropriate resources in compliance with SLAsCreates, updates, and submits status reports, documentation, and procedures relative to assigned End User Support processes and proceduresCollaborate on technical matters to other APAC End User Support Representatives including day-to-day questions from End User Support or other departmentsPerform other reasonable ad-hoc duties related to the role as assigned by the direct line manager. Incidental Duties:The above statements describe the general nature and level of work being performed in this job.  They are not intended to be an exhaustive list of all duties, and indeed additional responsibilities may be assigned, as required, by management. Education and Experience:High school diploma or equivalent requiredAssociate’s and/or bachelor’s degree in CS / MIS preferredMinimum of four years of technical/systems support-related experience requiredPrior experience in a manufacturing environment is a plus Knowledge and Skill Requirements/Specialized Courses and/or Training:Knowledge and experience with IT Helpdesk systems RequiredITIL practices preferred Machine, Tools, and/or Equipment Skills:PCs and have a command of Excel, PowerPoint, and Word plus any additional communications equipment as needed. Reasoning Ability:Ability to define problems, collect data, establish facts, and draw valid conclusions.  Ability to interpret an extensive variety of technical instructions in mathematical or diagram form and deal with several abstract and concrete variables. Mathematical SkillsAbility to comprehend and apply mathematical principles to the degree required to perform the job based upon job requirements.  Language and Communication Skills:Ability to comprehend and apply language skills to the degree required to perform the job based upon the job requirements listed above.  Ability to verbally communicate ideas and issues effectively to other team members and management.  Ability to write and record data and information as required by procedures. Physical Demands:The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of the job.  Reasonable accommodation may be made to enable individuals with disabilities to perform the essential functions.  While performing the duties of this job, the employee is regularly required to talk or hear.  The employee is frequently required to sit; use hands and fingers, to handle, or feel; and reach with hands and arms. The employee must occasionally lift and/or move up to 30 pounds.  Vision Requirements:Visual acuity is necessary to do the job safely and effectively.  Work Environment:The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. The area that this job is performed in is a general office or open cubicle/workstation environment. The noise level in the work environment is usually moderate. Interested applicants are to apply with us!",Full time,,,,2026-04-08,"One North, Central Region (Hybrid)"
91701781,https://sg.jobstreet.com/job/91701781?ref=search-standalone&type=standard&origin=jobTitle#sol=d0c40b6b7a7a5c80b4fc03b8ebe8c693e1f67ec3,Service Desk Engineer,Oceandrive Networks Pte. Ltd. ,Information & Communication Technology,Help Desk & IT Support,"About the roleLooking to take the next step in your IT support career? Join Oceandrive Networks Pte. Ltd., a dynamic technology company in the Central Region, as a full-time Service Desk Engineer. In this customer-facing role, you'll be responsible for providing excellent technical support and troubleshooting to our diverse client base.What you'll be doingRespond to and resolve incoming support requests from our customers via phone, email, and ticketing systemsDiagnose and troubleshoot hardware and software issues, providing prompt and effective solutionsMaintain detailed documentation of all support activities and incidentsCollaborate with cross-functional teams to ensure seamless resolution of complex problemsContribute to the continuous improvement of our service desk processes and proceduresWhat we're looking for1-2 years of experience in an IT support or service desk roleStrong troubleshooting and problem-solving skills with a customer-centric approachExcellent communication and interpersonal skills to effectively liaise with usersWorking knowledge of common software applications, operating systems, and hardwareAbility to multitask, prioritise, and work effectively in a fast-paced environmentA team player with a positive attitude and a willingness to learnWhat we offerAt OceanDrive Networks Pte. Ltd., we are committed to providing our employees with a rewarding and fulfilling work environment. In addition to a competitive salary, we offer a range of benefits, including:Comprehensive health insurance coverageGenerous annual leave including birthday leave and family-flexible leaveOpportunities for professional development and career advancementCollaborative and supportive team cultureCutting-edge technology and resources to excel in your roleAbout usOceanDrive Networks Pte. Ltd. is a fast-growing service provider of innovative network solutions and managed services in the SI industry. With a focus on delivering reliable, secure, and scalable network infrastructure, we empower our clients to navigate the digital landscape with confidence. Join our talented team and contribute to the ongoing success of our organisation.Apply now to become our next Service Desk Engineer and be a part of our dynamic and forward-thinking company.",Full time,,"$3,000 – $4,000 per month",,2026-04-24,Central Region
91675612,https://sg.jobstreet.com/job/91675612?ref=search-standalone&type=standard&origin=jobTitle#sol=e0a1193240cb811aa10edbf7f8e6ebe72996b153,SAP Basis Support/ Platform Engineer (Entry Level),DW Consulting Pte Ltd ,Information & Communication Technology,Engineering - Software,"We are a Systems Integrator and SAP Support Services provider seeking a motivated and eager-to-learn to join our SAP Basis Team.**We welcome applications from candidates seeking either permanent or contract roles, and the final offer will depend on the candidate’s suitability and alignment with our needs. **What You’ll Be Doing (with On-the-Job Training):You’ll be supporting our consultants to: -Perform SAP system installations, upgrades, patching, and landscape maintenanceAdminister SAP databases (e.g. HANA, MSSQL) and ensure system health and performanceMonitor systems, troubleshoot issues, and optimize performanceManage transports, system backups, and disaster recovery planning and testingCollaborate with infrastructure, cloud service, and functional teamsHandle user administration, role assignments, and security configurationsProvide on-call support for production systems as part of a support rotationMaintain clear and up-to-date documentation of system configurations, procedures, and enhancementsQualifications:A Bachelor’s degree in Computer Science, Information Technology, or a related fieldA genuine interest in SAP technology, system administration, or enterprise ITFamiliarity (or coursework) in operating systems such as Linux or Windows ServerBasic understanding of databases and networking concepts is a plusWillingness to learn SAP Basis, cloud environments (e.g., AWS, Azure), and IT support best practicesStrong problem-solving mindset and the ability to communicate clearly with team membersNo prior SAP experience is required, but internships, projects, or certifications will be advantageous",Full time,,,,2026-04-23,"Orchard, Central Region"
