Job Title,Job Title Clean,Job Title Clean 2
Clinic Assistant (Boon Lay & Marsiling),Clinic Assistant,['Clinic Assistant']
Care Support Associate,Care Support Associate,['Care Support Associate']
Patient Service Associate,Patient Service Associate,['Patient Service Associate']
"Senior / Associate Executive, Clinical Governance",Senior / Associate Executive,['Senior / Associate Executive']
Senior / Officer – Tenancy Management,Senior / Officer – Tenancy Management,['Senior / Officer']
"(Senior) Executive Assistant / Associate Executive, Emergency Medicine(7784)",(Senior) Executive Assistant / Associate Executive,[]
Patient Service Officer / Clinic Assistant,Patient Service Officer / Clinic Assistant,['Patient Service Officer / Clinic Assistant']
Aesthetic Clinic Assistant,Aesthetic Clinic Assistant,['Aesthetic Clinic Assistant']
Executive (Central Region Operations),Executive,['Executive']
Supplier Quality Engineer,Supplier Quality Engineer,['Supplier Quality Engineer']
"Sr / Executive (Systems), Clinical & Health Informatics Office (Contract)",Sr / Executive,['Sr / Executive']
RA Executive,Ra Executive,['RA Executive']
Sales Executive  (Medical Device),Sales Executive,['Sales Executive  ']
Patient Service Associate (UOGC),Patient Service Associate,['Patient Service Associate']
Sonographer / Senior Sonographer,Sonographer / Senior Sonographer,['Sonographer / Senior Sonographer']
Therapy Assistant,Therapy Assistant,['Therapy Assistant']
Production Pharmacist (Singapore Registered),Production Pharmacist,['Production Pharmacist']
Social Work Associate (PDS) - hybrid arrangement,Social Work Associate,['Social Work Associate']
Registered Nurse,Registered Nurse,['Registered Nurse']
Care Support Associate (Milk Technician),Care Support Associate,['Care Support Associate']
Clinic Service Coordinator,Clinic Service Coordinator,['Clinic Service Coordinator']
"Sales Executive, Healthcare Sector",Sales Executive,['Sales Executive']
Healthcare Assistant / Basic Care Assistant (Up $2500 / Bonuses) - JY,Assistant,['Healthcare Assistant / Basic Care Assistant']
"Assistant Manager/Manager, Clinical Service Improvement (Division of Medicine)",Assistant Manager/Manager,['Assistant Manager/Manager']
Dental Assistant,Dental Assistant,['Dental Assistant']
Patient Coordinator,Patient Coordinator,['Patient Coordinator']
Clinical Quality & Compliance Executive,Clinical Quality & Compliance Executive,['Clinical Quality & Compliance Executive']
Social Work Associate (HST) - hybrid arrangement,(Hst,['Social Work Associate']
"Contract Manager (Environmental Services, Healthcare Institution)",Contract Manager,['Manager']
Clinic Receptionist,Clinic Receptionist,['Clinic Receptionist']
"Executive, Medical Affairs (Special Projects), Regular Part-time",Executive,['Executive']
Patient Service Associate,Patient Service Associate,['Patient Service Associate']
Cardiac Technologist,Cardiac Technologist,['Cardiac Technologist']
IT Executive,It Executive,['IT Executive']
Information Technology Manager,Information Technology Manager,['Information Technology Manager']
"Project Coordinator, Youth Development (Red Cross Junior)",Project Coordinator,['Project Coordinator']
Network Engineer,Network Engineer,['Network Engineer']
Software Development Engineer,Software Development Engineer,['Software Development Engineer']
IT Infrastructure Manager,It Infrastructure Manager,['IT Infrastructure Manager']
IT / ERP SUPPORT ENGINEER,It / Erp Support Engineer,['IT / ERP SUPPORT ENGINEER']
IT Executive (Infra & EUC),It Executive,['IT Executive']
Associate / Application Analyst,Associate / Application Analyst,['Associate / Application Analyst']
IT Support Engineer,It Support Engineer,['IT Support Engineer']
Assistant Manager - IT,Assistant Manager - It,['Assistant Manager']
"Desktop Support Engineer, TCOMS",Desktop Support Engineer,['Desktop Support Engineer']
ICT Security Risk Management Specialist,Ict Security Risk Management Specialist,['ICT Security Risk Management Specialist']
Junior Data Analyst | Govt,Junior Data Analyst | Govt,['Junior Data Analyst']
L3 Wintel Engineer,L3 Wintel Engineer,['L3 Wintel Engineer']
Software Engineer*,Software Engineer,['Software Engineer']
Technician (Entry Level - IT / ICT),(Entry Level - It / Ict,['Technician']
