Job Id,Job URL,Job Title,Company,Job Location,Job Industry,Job Description,Job Employment Type,Job Minimum Experience,Job Salary Range,skills,Job Posting Date
MCF-2025-0487417,https://www.mycareersfuture.gov.sg/job/logistics/ceo-toptrans-logistics-0ec0986a7ec5c1b49f97b4be6149772a?source=MCF&event=Search,CEO,TOPTRANS LOGISTICS PTE. LTD.,"THE CONCOURSE, 300 BEACH ROAD 199555",Logistics / Supply Chain,"**Post Mission**
As the CEO of the group, you will undertake the significant mission of leading the safety standards and innovative development of the global dangerous and explosive goods logistics industry, lead us to achieve the ultimate goal of ""zero accidents"", and simultaneously promote the strategic expansion of the business in the global market.
**Core Responsibilities**
1. Formulate and implement the global logistics development strategy for dangerous and explosive goods, with a focus on new markets such as the Middle East and Southeast Asia.
2. Establish an industry-leading ""full-process safety control system"" to ensure compliance with the latest regulations of various countries.
3. Promote digital transformation and build a technical platform for intelligent monitoring, risk assessment and emergency response.
4. Optimize the global operation network, improve the efficiency of multimodal transport and reduce the comprehensive logistics cost.
5. Maintain strategic relationships with government regulatory agencies, key customers and partners.
6. Cultivate a professional and highly executive international management team.
**Job Requirements**
- More than 10 years of executive experience in dangerous and explosive goods logistics, chemical supply chain or special transportation industry
- Proficient in the global transportation regulations system of dangerous and explosive goods, with practical experience of successfully passing strict safety audits
- Excellent in handling crisis, emergency response of major dangerous and explosive goods transportation incidents
- Outstanding business insight, with successful cases of achieving double business growth
- Strong cross-cultural leadership ability, capable of managing a diversified international team
- Bachelor's degree or above, related majors such as chemical engineering, logistics, and safety management are preferred",Full Time,10 years exp,"$25,000to$30,000","Digital Transformation
Microsoft PowerPoint
Leadership
Microsoft Excel
Risk Assessment
Travel Arrangements
Supply Chain
Strategy
Emergency Response
Transportation
Audits
Administrative Support
Budgeting
Scheduling
LinkedIn
Chemical Engineering",Posted 04 Apr 2025
MCF-2025-0532922,https://www.mycareersfuture.gov.sg/job/sciences/computational-scientist-bii-astar-research-entities-078d6632351496d9f22f0b086c55f11b?source=MCF&event=Search,"Computational Scientist (Research Data Integration), BII",A*STAR RESEARCH ENTITIES,"BIOINFORMATICS INSTITUTE, 30 BIOPOLIS STREET 138671",Sciences / Laboratory / R&D,"About us:
Data science is an important component of biomedical and translational research, where data of multiple modalities are being constantly generated at unprecedented scale. The Research Data Integration group in the Biomedical Datahub Division of the Bioinformatics Institute (BII), A*STAR, aims to bridge the complexity of computational biology and data science with the needs of biologists and clinicians to drive biological discoveries and predict translational outcomes. One of our immediate challenges is to analyze and integrate and analyze multi-omics, imaging and clinical data generated by biomedical institutes in A*STAR, healthcare institutions and national initiatives in Singapore to improve the usability and interpretability of large-scale multimodal datasets of cancer, metabolic diseases, skin diseases and other diseases. We seek motivated individuals to join us to push the potential of biomedical data in truly benefitting patients.
Job description:
We are seeking a computational scientist to develop analytical, statistical and machine learning methodologies and workflows for analysis and integration of large-scale multi dimensional omics (bulk, single-cell, spatial), perturbation screens, imaging and clinical data. These data science capabilities will form the core stength of the Research Data Integration group to drive large-scale biomedical data analysis and multi-modal integration to uncover underlying diseases biology, druggable targets and develop precision medicine approaches. The candidate is expected to scientifically build and drive national/consortium level data programs and platforms, which includes developing workflows and data management, executing multiple projects with advanced analytical approaches, drive high impact research outcomes and publications, and work effectively with multiple stakeholders. This position offers the candidate an opportunity to work with a team of clinicians, wet-lab scientists and computational biologists across multiple institutions in A*STAR, NCCS, Singhealth, NUH, NSC and MOH to discover new biology and clinical insights of various diseases, including cancer, metabolic diseases and skin diseases through data science.
Requirements:
PhD in Bioinformatics, Computational Biology, Data Science, Computer Science, Mathematics, Engineering or a related field.
Proficient programming skills (e.g. Python, R, RStudio, Jupyter Notebook, Shinyapps).
Familiarity with Unix/Linux environment and cloud architecture (AWS).
Experience in large-scale omics (bulk, single-cell, spatial) data analysis and/or AI/ML.
A background in life sciences, biology and/or biomedical informatics is preferred.
Knowledge in data standards and interoperability.
Strong analytical and problem-solving skills.
Excellent oral and written communication and presentation skills.
Able to work independently, and as part of a team, with a positive and enthusiastic learning attitude.
Competent project management and organizational skills will be very valuable.
The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified.","Contract, Full Time",2 years exp,"$4,750to$9,500","Translational Research
Usability
Medicine
Mathematics
Data Management
Data Integration
Informatics
Biology
Bioinformatics
Computational Biology
Publications
Data Science
Life Sciences
Bridge
RStudio
Able To Work Independently",Posted 11 Apr 2025
MCF-2025-0533331,https://www.mycareersfuture.gov.sg/job/sciences/postdoctoral-researchfellow-bii-astar-research-entities-6023fd2501af9b7135856cee152d864a?source=MCF&event=Search,"Postdoctoral ResearchFellow (AI / ML for Genome Mining for Natural Products and Synthetic Biology), BII",A*STAR RESEARCH ENTITIES,"BIOINFORMATICS INSTITUTE, 30 BIOPOLIS STREET 138671",Sciences / Laboratory / R&D,"A postdoctoral research fellow position (junior postdoc / senior postdoc) is available in the Breitling group in the Bioinformatics Institute (BII), A*STAR, Singapore in the area of Artificial Intelligence (AI) and Machine Learning (ML) for Genome mining for natural products and synthetic biology.
In the Breitling group, we believe that computational approaches can make a real difference for scientific progress in the life sciences. We are committed to academic excellence and have created tools, such as antiSMASH, ipaPy2, RankProd and Selenzyme, that are used by thousands of researchers in academia and industry world-wide. We value curiosity, creativity and innovation, and support the intellectual growth and career development of our team members. Alumni of the Breitling group have moved on to build their own start-up companies and have joined the faculty of major universities.
The successful candidate will be part of an interdisciplinary team working on the development of computational tools to support the Design–Build–Test–Learn cycle of synthetic biology, in close collaboration with the team of experimental scientists at A*STAR’s newly established Singapore Integrative Biosystems & Engineering Research Strategic Research and Translational Thrust (SIBER SRTT).
Job descriptions:
Develop and validate novel AI and ML models and methods for Genome mining for natural products and synthetic biology.
Apply these and other state-of-the-art computational tools to inform, guide and support the work of experimental biologists and biosystems engineers.
Work closely with the other members of the computational synthetic biology team in BII, as well as with the team of experimental biologists at SIBER SRTT, to realise the shared mission of driving synthetic biology advances towards industrial implementation.
Present findings at seminars, meetings and national / international conferences.
Write manuscripts for publication in high-impact scientific journals.
Prepare high-quality software for use by the wider community of researchers.
Apply proactively for individual research grants as part of career development and contribute to the writing of larger grant applications.
Build and maintain strong relationships with the local and international research network.
Requirements:
PhD in Computer Science, Bioinformatics, Computational Biology, Biochemistry, Biotechnology, Chemical Engineering, Microbiology or a related field.
Excellent coding and software development skills, including proficiency in Python and R programming.
Familiarity with state-of-the-art computational tools, methodology and data formats relevant for computational biology and bioengineering, with a special focus on genomics and genome engineering.
Passion for joining a growing and dynamic group of researchers and a demonstrated ability to work independently as well as collaboratively and efficiently in an interdisciplinary team.
Desire to work closely with experimental biologists to develop tools to drive the new green revolution towards decarbonisation and sustainable chemical production.
Track record of peer-reviewed scientific publications in internationally recognised journals.
Excellent communication skills both written and spoken, especially for the preparation of scientific manuscripts and reports.
A strong interest in the translational and applied aspects of research, including collaborations with industrial partners.
Preferred Skills:
Whether you are an experienced bioinformatician excited about the possibilities of artificial intelligence, or a biology-curious machine learning expert looking for new exciting applications across disciplines, we want to hear from you. A strong willingness to learn and develop new skills is highly preferred. We will be looking for candidates with any of the following qualities:
Experience with generative genome language models (GLMs) and with functional genome annotation tools, such as antiSMASH and deepBGC.
Familiarity with the tools and concepts of molecular evolution at the genome, protein, and nucleotide level.
Strong background in AI/ML modelling, statistics, and data analysis and visualization, preferably including practical experience with deep learning frameworks (e.g., TensorFlow, PyTorch).
Extensive domain knowledge in (bio)chemistry, molecular biology, microbiology and the concepts of synthetic biology / engineering biology.
Familiarity with the techniques of agentic AI.
We offer:
A nurturing, supportive and stimulating environment with close mentorship to develop your scientific career and shape the future of synthetic biology through innovative computational approaches.
An opportunity to work closely with an ambitious team of experimental biologists at the forefront of advances in synthetic biology.
Access to state-of-the-art technologies, scientific resources, core facilities and infrastructure housed within A*STAR to facilitate your research work.
Access to collaborations with industrial partners to translate research findings to commercial applications and societal impact.
We welcome applicants from all background.
The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified.","Contract, Full Time",2 years exp,"$4,750to$9,500","Biochemistry
TensorFlow
Genomics
Academia
Job Descriptions
Microbiology
Biotechnology
Biology
PyTorch
Revolution
Bioinformatics
Molecular Biology
Computational Biology
Life Sciences
Chemical Engineering
Mining",Posted 11 Apr 2025
MCF-2025-0533015,https://www.mycareersfuture.gov.sg/job/sciences/computational-scientist-bii-astar-research-entities-419124c815161e4062daf7cd709f6f5b?source=MCF&event=Search,"Computational Scientist (Biomedical Datahub Division / Research Data Integration), BII",A*STAR RESEARCH ENTITIES,"BIOINFORMATICS INSTITUTE, 30 BIOPOLIS STREET 138671",Sciences / Laboratory / R&D,"About us:
Data science is an important component of biomedical and translational research, where data of multiple modalities are being constantly generated at unprecedented scale. The Research Data Integration group in the Biomedical Datahub Division of the Bioinformatics Institute (BII), A*STAR, aims to bridge the complexity of computational biology and data science with the needs of biologists and clinicians to drive biological discoveries and predict translational outcomes. One of our immediate challenges is to analyze and integrate and analyze multi-omics, imaging and clinical data generated by biomedical institutes in A*STAR, healthcare institutions and national initiatives in Singapore to improve the usability and interpretability of large-scale multimodal datasets of cancer, metabolic diseases, and other diseases. We seek motivated individuals to join us to push the potential of biomedical data in truly benefitting patients.
Job description:
We are developing data platforms in BII Biomed DAR, integrating healthcare data including clinical and research data, for various diseases including cancer, metabolic diseases and skin diseases. We are seeking a computational scientist to develop analytical, statistical and machine learning methodologies and workflows for analysis and integration of large-scale multi-dimensional omics (bulk, single-cell, spatial), perturbation screens, imaging and clinical data) for these data platforms. The candidate is expected to drive data science research to uncover underlying diseases biology, druggable targets and develop personalized medicine approaches. This position offers the candidate an opportunity to work closely with a team of clinicians, wet-lab scientists and computational biologists. He/She is also expected to drive high impact publications and manage large-scale projects, include data management.
Requirements:
PhD in Bioinformatics, Computational Biology, Data Science, Computer Science, Mathematics, Engineering or a related field.
Proficient programming skills (e.g. Python, R, RStudio, Jupyter Notebook, Shinyapps).
Familiarity with Unix/Linux environment and cloud architecture (AWS).
Experience in large-scale omics (bulk, single-cell, spatial) data analysis and/or AI/ML.
A background in life sciences, biology or biomedical informatics is preferred.
Knowledge in data standards and interoperability.
Strong analytical and problem-solving skills.
Excellent oral and written communication and presentation skills.
Able to work independently, and as part of a team, with a positive and enthusiastic learning attitude.
Competent project and data management and organizational skills will be very valuable.
The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified.","Contract, Full Time",2 years exp,"$4,750to$9,500","Translational Research
Usability
Medicine
Mathematics
Data Management
Data Integration
Informatics
Biology
Bioinformatics
Computational Biology
Publications
Data Science
Life Sciences
Bridge
RStudio
Able To Work Independently",Posted 11 Apr 2025
MCF-2025-0519977,https://www.mycareersfuture.gov.sg/job/food-and-beverage/nasi-padang-muslim-cook-orion-catering-services-296539096162592b3b4a4c7b4cde078f?source=MCF&event=Search,Nasi Padang Muslim Cook,ORION CATERING SERVICES PRIVATE LIMITED,-,F&B,"Sembawang School Canteen require Nasi Padang Muslim Cook

7.15am
Breakfast 1 noodles 3kg and fried rice 20pax and 20pcs chicken wings
9am
30pax chicken curry and 1 special
12pax soup noodles
10.00am
Lunch 30pax fish, 2 veggie 1.5kg each and 2 side dishes and special set of the day 12pax
1.30pm
15pcs of Malay Teabreak items and prepare 15pcs kueh for next day breakfast

Salary $1700 + $100 Attendance
6.30am to 12.30pm
5 day week

Only PR and Local
Start work ASAP
Opposite Sembawang MRT take Bus 859, 859A drop at the 3rd busstop
Interested Watsapp 8201 3396",Full Time,1 year exp,"$1,700to$1,700","Recipes
Always Punctual
Ingredients
Food Safety
Cooking
Food Quality
Sanitation
Procurement
Team Player
Cut",Posted 10 Apr 2025
MCF-2025-0533338,https://www.mycareersfuture.gov.sg/job/sciences/postdoctoral-researchfellow-bii-astar-research-entities-2db71a49ce764be74a469d29ae8fcdc6?source=MCF&event=Search,"Postdoctoral ResearchFellow (AI / ML for Genome Mining for Natural Products and Synthetic Biology), BII",A*STAR RESEARCH ENTITIES,"BIOINFORMATICS INSTITUTE, 30 BIOPOLIS STREET 138671",Sciences / Laboratory / R&D,"A postdoctoral research fellow position (junior postdoc / senior postdoc) is available in the Breitling group in the Bioinformatics Institute (BII), A*STAR, Singapore in the area of Artificial Intelligence (AI) and Machine Learning (ML) for Genome mining for natural products and synthetic biology.
In the Breitling group, we believe that computational approaches can make a real difference for scientific progress in the life sciences. We are committed to academic excellence and have created tools, such as antiSMASH, ipaPy2, RankProd and Selenzyme, that are used by thousands of researchers in academia and industry world-wide. We value curiosity, creativity and innovation, and support the intellectual growth and career development of our team members. Alumni of the Breitling group have moved on to build their own start-up companies and have joined the faculty of major universities.
The successful candidate will be part of an interdisciplinary team working on the development of computational tools to support the Design–Build–Test–Learn cycle of synthetic biology, in close collaboration with the team of experimental scientists at A*STAR’s newly established Singapore Integrative Biosystems & Engineering Research Strategic Research and Translational Thrust (SIBER SRTT).
Job descriptions:
Develop and validate novel AI and ML models and methods for Genome mining for natural products and synthetic biology.
Apply these and other state-of-the-art computational tools to inform, guide and support the work of experimental biologists and biosystems engineers.
Work closely with the other members of the computational synthetic biology team in BII, as well as with the team of experimental biologists at SIBER SRTT, to realise the shared mission of driving synthetic biology advances towards industrial implementation.
Present findings at seminars, meetings and national / international conferences.
Write manuscripts for publication in high-impact scientific journals.
Prepare high-quality software for use by the wider community of researchers.
Apply proactively for individual research grants as part of career development and contribute to the writing of larger grant applications.
Build and maintain strong relationships with the local and international research network.
Requirements:
PhD in Computer Science, Bioinformatics, Computational Biology, Biochemistry, Biotechnology, Chemical Engineering, Microbiology or a related field with at least 5 years of relevant experience
Excellent coding and software development skills, including proficiency in Python and R programming.
Familiarity with state-of-the-art computational tools, methodology and data formats relevant for computational biology and bioengineering, with a special focus on genomics and genome engineering.
Passion for joining a growing and dynamic group of researchers and a demonstrated ability to work independently as well as collaboratively and efficiently in an interdisciplinary team.
Desire to work closely with experimental biologists to develop tools to drive the new green revolution towards decarbonisation and sustainable chemical production.
Track record of peer-reviewed scientific publications in internationally recognised journals.
Excellent communication skills both written and spoken, especially for the preparation of scientific manuscripts and reports.
A strong interest in the translational and applied aspects of research, including collaborations with industrial partners.
Preferred Skills:
Whether you are an experienced bioinformatician excited about the possibilities of artificial intelligence, or a biology-curious machine learning expert looking for new exciting applications across disciplines, we want to hear from you. A strong willingness to learn and develop new skills is highly preferred. We will be looking for candidates with any of the following qualities:
Experience with generative genome language models (GLMs) and with functional genome annotation tools, such as antiSMASH and deepBGC.
Familiarity with the tools and concepts of molecular evolution at the genome, protein, and nucleotide level.
Strong background in AI/ML modelling, statistics, and data analysis and visualization, preferably including practical experience with deep learning frameworks (e.g., TensorFlow, PyTorch).
Extensive domain knowledge in (bio)chemistry, molecular biology, microbiology and the concepts of synthetic biology / engineering biology.
Familiarity with the techniques of agentic AI.
We offer:
A nurturing, supportive and stimulating environment with close mentorship to develop your scientific career and shape the future of synthetic biology through innovative computational approaches.
An opportunity to work closely with an ambitious team of experimental biologists at the forefront of advances in synthetic biology.
Access to state-of-the-art technologies, scientific resources, core facilities and infrastructure housed within A*STAR to facilitate your research work.
Access to collaborations with industrial partners to translate research findings to commercial applications and societal impact.
We welcome applicants from all background.
The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified.","Contract, Full Time",5 years exp,"$5,900to$11,800","Biochemistry
TensorFlow
Genomics
Academia
Job Descriptions
Microbiology
Biotechnology
Biology
PyTorch
Revolution
Bioinformatics
Molecular Biology
Computational Biology
Life Sciences
Chemical Engineering
Mining",Posted 11 Apr 2025
MCF-2025-0489390,https://www.mycareersfuture.gov.sg/job/logistics/marketing-manager-toptrans-logistics-1a8c8e380e12f72a3369b3c81118039b?source=MCF&event=Search,Marketing Manager,TOPTRANS LOGISTICS PTE. LTD.,"THE CONCOURSE, 300 BEACH ROAD 199555",Logistics / Supply Chain,"[Core Value of the Position]
You will set up a professional brand image in the global logistics of dangerous and explosive goods, promote business growth through precise marketing strategies, and ensure that all marketing activities are 100% in line with the regulatory requirements of the dangerous and explosive goods industry in various countries.
[Key Responsibilities]
1. Global Brand Strategy
- Develop a strategy for brand positioning and in line with the characteristics of the dangerous and explosive goods industry
- Build a professional image of ""Safety Logistics Expert""
- Lead the output of authoritative content such as industry white papers and safety standard guidelines
2. Digital Marketing System
- Build an industry vertical marketing platform
- Have dangerous and explosive goods safety knowledge
- Manage an annual digital marketing budget
3. Business Expansion Support
- Develop marketing plans for vertical industries such as petrochemical industry
- Plan high-end industry events such as the Global Dangerous and Explosive Goods Logistics Summit
- Support the key account team to assist VIP customer
4. Compliance Risk Control Management
- Ensure that all marketing materials comply with the publicity regulations of dangerous and explosive goods in various countries
- Establish a three-level review mechanism for marketing content
- Maintain global transportation certifications for dangerous and explosive goods
[Job Requirements]
- More than 10 years of B2B marketing experience, and more than 8 years of background in the hazardous chemicals/special logistics industry
- Familiar with the classification of dangerous and explosive goods and transportation regulations
- Fluent in both Chinese and English, and capable in engaging of international business negotiations
- Able to balance marketing creativity and industry compliance requirements
- Proficient in transforming professional safety knowledge into customer value
- Outstanding business insight, with successful cases of achieving double business growth
- Bachelor's degree or above, related majors such as chemical engineering, logistics, and safety management are preferred",Full Time,8 years exp,"$20,000to$30,000","Vertical Marketing
International Business
Social Media
Risk Control
Marketing Strategy
B2B Marketing
VIP
Strategy
B2B
Customer Value
Digital Marketing
Transportation
Publicity
Regulatory Requirements
Petrochemical
Chemical Engineering",Posted 04 Apr 2025
MCF-2025-0528420,https://www.mycareersfuture.gov.sg/job/food-and-beverage/restaurant-manager-alice-boulangerie-8592dfe604e5ecd719f126bfd17703d7?source=MCF&event=Search,Restaurant Manager,ALICE BOULANGERIE PTE. LTD.,-,F&B,"Job Summary:
We are looking for a highly motivated and results-driven Restaurant Manager to join our new opening outlet! The candidate must have excellent interpersonal skills as well as experience in a restaurant environment. Importantly, having a hands-on approach in leading by example, seeking service excellence at all times.
The role will focus on training team members to deliver outstanding customer service and consistently achieve guest and employee satisfaction, while maintaining standards and meeting or exceeding business goals.

Key Responsibilities:
Sales Achievement:
Devise and execute seasonal promotions to refrain existing customers and achieve monthly sales target.
Responsible for planning and working within budget, maximizing profits and achieving sales targets set by the Company.
Actively involved in collaboration and B2B sales to other F&B establishments such as restaurants and hotels to increase product sales.
Provide input and analysis report to management team based on assessing Sales reports and how to improve overall business performance.
Coordinate and cooperate with the other department to ensure a consistent delivery of F&B offerings and work closely with them on integrated promotions and events.
Perform any other ad-hoc duties as assigned by the Company.
Operations Management:
Oversee daily restaurant operations, ensuring seamless service and an exceptional dining experience.
Organization of stocks and equipment, ordering of supplies and oversee the maintenance and cleanliness.
Coordinate communication between Service team and Kitchen team to ensure smooth execution.
Ensure compliance with health and safety regulations, company policies, and operational standards.
Customer Service:
Ensuring a great customer experience at our restaurant across food & beverage and maintaining the ambience and facilities to the highest standard.
Maintain the highest quality with consistent product standards.
Implement and refine Standard Operation Procedure SOPs to enhance efficiency and guest satisfaction.
Oversee reservations, guest preferences and special requests to enhance satisfaction.
Handles all guests queries and feedbacks in a professional and timely manner.
Team Leadership:
Responsible in recruitment, training, motivation a high-performing team, fostering a positive and collaborative work environment.
Planning schedules, work out shifts with service staff and managing manpower.
Provide leadership in cultivating, guiding and coaching staff in providing excellent service experience to all guests consistently.
Conduct regular performance evaluations, provide feedback and implement staff development programs.
Job Requirements
Minimum 5 years of experience leading and managing a team of restaurant professionals.
With good knowledge of wine preferred.
In-depth knowledge of fine dining service standards, wine, and gastronomy trends.
Excellent leadership and team management skills.
Exceptional communication, interpersonal, and problem-solving skills.
Has great initiative and team leadership skills.
Ability to work in a fast-paced environment.
Ability to multi-task efficiently and effectively.
Ensure compliance with food safety, sanitation, and health regulations.
Commitment to work rotating shifts, weekends, and public holidays.
Working days: 5 days / 5.5 days per week","Permanent, Full Time",5 years exp,"$5,000to$6,000","Coaching
Ability to Multitask
Management Skills
Food Safety
Restaurants
Customer Experience
Operations Management
Sanitation
Fine Dining
Team Leadership
Team Management
Wine
Customer Service
Service Excellence
Staff Development",Posted 11 Apr 2025
MCF-2025-0529314,https://www.mycareersfuture.gov.sg/job/others/research-engineer-scis-hyperscal-solutions-be0f150cb1d51ae5e5b476105c6e74f3?source=MCF&event=Search,"Research Engineer (6-month contract), SCIS",HYPERSCAL SOLUTIONS PTE. LTD.,81 VICTORIA STREET 188065,Others,"COMPANY DESCRIPTION
Singapore Management University is a place where high-level professionalism blends together with a healthy informality. The 'family-like' atmosphere among the SMU community fosters a culture where employees work, plan, organise and play together building a strong collegiality and morale within the university.

Our commitment to attract and retain talent is ongoing. We offer attractive benefits and welfare, competitive compensation packages, and generous professional development opportunities all to meet the work-life needs of our staff. No wonder, then, that SMU continues to be given numerous awards and recognition for its human resource excellence.

RESPONSIBILITIES
The candidate will be responsible for conducting research on AI for Head and Neck Cancer Screening. Successful candidate will be part of an active research team led by Prof Min Lee from School of Computing and Information Systems, Singapore Management University.
Candidate's core responsibilities are:
Develop and experiment an AI model to process and explain a video data
Multimodal representation learning (videos/images + texts, etc.)
Self-supervised learning
Large language models
Domain adaptation
Work with a clinical partner
Other duties as assigned
QUALIFICATIONS
Minimum Bachelor's in Computer Science, Information Technology, Information Systems or closely related disciplines from a reputable institution of higher learning
Minimum 1 years of relevant research experience in AI and machine learning
Basic knowledge/Proficiency in programming software/languages such as Python, Tensorflow, Pytorch is required
Demonstrated experience and know-how on creating an AI/ML model
Good analytical, technical and problem solving skills
Applicants with research publications in AI & Health areas will be advantageous
Self-motivated individual who can work independently and also collaboratively with team members
OTHER INFORMATION
#LI-JN2
Please note that your application will be sent to and reviewed by the direct employer - Singapore Management University",Contract,1 year exp,"$4,300to$5,000","Machine Learning
Data Analysis
Teaching
LaTeX
Microsoft Visual Studio C++
Computer Science
Matlab
Programming
Research
Algorithms",Posted 11 Apr 2025
MCF-2025-0528522,https://www.mycareersfuture.gov.sg/job/advertising/crm-loyalty-manager-dynamic-human-capital-c9d0c2bc47d495e51400fc643a62be42?source=MCF&event=Search,CRM & Loyalty Manager,DYNAMIC HUMAN CAPITAL PTE. LTD.,-,"Advertising / Media, Marketing / Public Relations, Personal Care / Beauty, Sales / Retail","Position: CRM & Loyalty Manager
Salary: $3,500 - $5,000 + AWS + Variable Bonus
Location: Central
Working Days: 5 days' work week (2 days Morning Shift, 2 days Middle Shift)
Working Hours: AM Shift (10AM - 6PM) / PM Shift (12PM - 8PM)

Responsibilities:
Source and develop suitable brand, retailer, and industry partnerships to increase store traffic with qualified leads.
Foster connections with high-value clients to boost service quality, enrich their shopping experience, and drive sales, thereby strengthening brand loyalty.
Monitor and coach the store team to guarantee accurate data collection, encompassing observational insights and the provision of tailored services aligned with individual client preferences.
Work and liaise closely with marketing and CRM teams to leverage key analytics to build an action plan.
Follow up on relevant moments to be addressed to VIP customers; work with marketing on communications and outreach.

Requirements:
Possess a Diploma or equivalent qualification.
At least 3 years of relevant experience in client-facing and partnership within the luxury retail industry.
Strong communication skills with the ability to create strong partnerships and coach a team.
Ability to think creatively and execute with excellence for in-store and online personalized communication.
Proficiency in CRM systems and ability to use systems.

Interested applicants, please click the apply button to submit your application.

Alyson Ong
Dynamic Human Capital Pte Ltd
Registration No: R22107466
License No: 12C6253

Kindly take note that you will be employed under DYNAMIC HUMAN CAPITAL and will be working with our business partners for the above mentioned project.

By submitting any application or resume to us, you will be deemed to have agreed and consented to us disclosing your personal information to prospective employers for their consideration.

Under the revised Employment Agencies Licence Condition 5(b), employment agencies (EAs) are required to collect the personal data (e.g. NRIC, FIN) of applicants referred to employers for permanent or contract job positions of at least 6 months with a fixed monthly salary of $3,300 and above. PDPA requirements on collection, use and disclosure of personal data are not applicable to EAs that are collecting such information, as it is a regulatory requirement.

https://www.mom.gov.sg/faq/submit-quarterly-referral-and-placement/are-employment-agencies-allowed-to-collect-personal-data",Full Time,3 years exp,"$3,500to$5,000","CRM
Coaching
Store Operations
Sales
Lifestyle
Data Analysis
VIP
Property
partnership management
Retail Sales
Marketing
Outsourcing partnership
Strategy
Partnership Development
Communication Skills
Clienteling",Posted 11 Apr 2025
